n,det_A,det_Estd,invariant_factors,expected
2,-1,-2,1,"1, "
3,-3,-9,1;3,"1, 3"
4,16,64,1;4;4,"1, 4, 4"
5,125,625,1;5;5;5,"1, 5, 5, 5"
6,-1296,-7776,1;6;6;6;6,"1, 6, 6, 6, 6"
7,-16807,-117649,1;7;7;7;7;7,"1, 7, 7, 7, 7, 7"
8,262144,2097152,1;8;8;8;8;8;8,"1, 8, 8, 8, 8, 8, 8"
9,4782969,43046721,1;9;9;9;9;9;9;9,"1, 9, 9, 9, 9, 9, 9, 9"
10,-100000000,-1000000000,1;10;10;10;10;10;10;10;10,"1, 10, 10, 10, 10, 10, 10, 10, 10"
11,-2357947691,-25937424601,1;11;11;11;11;11;11;11;11;11,"1, 11, 11, 11, 11, 11, 11, 11, 11, 11"
12,61917364224,743008370688,1;12;12;12;12;12;12;12;12;12;12,"1, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12"
