id,det_A,det_Estd,rank_F2_A,v2_detA,v2_detEstd
0,80,400,3,4,4
1,80,400,3,4,4
2,-5,-25,4,0,0
3,-5,-25,4,0,0
4,-5,-25,4,0,0
5,-5,-25,4,0,0
6,80,400,3,4,4
7,80,400,3,4,4
8,-5,-25,4,0,0
9,80,400,3,4,4
10,5,25,4,0,0
11,-80,-400,3,4,4
12,-5,-25,4,0,0
13,80,400,3,4,4
14,125,625,4,0,0
15,-5,-25,4,0,0
16,-105,-525,4,0,0
17,-80,-400,3,4,4
18,5,25,4,0,0
19,-80,-400,3,4,4
20,-5,-25,4,0,0
21,-105,-525,4,0,0
22,-80,-400,3,4,4
23,55,275,4,0,0
24,5,25,4,0,0
25,5,25,4,0,0
26,-80,-400,3,4,4
27,-80,-400,3,4,4
28,-105,-525,4,0,0
29,-5,-25,4,0,0
30,5,25,4,0,0
31,-105,-525,4,0,0
32,105,525,4,0,0
33,-5,-25,4,0,0
34,-80,-400,3,4,4
35,-80,-400,3,4,4
36,-5,-25,4,0,0
37,105,525,4,0,0
38,155,775,4,0,0
39,-5,-25,4,0,0
40,55,275,4,0,0
41,-5,-25,4,0,0
42,80,400,3,4,4
43,-5,-25,4,0,0
44,-105,-525,4,0,0
45,-80,-400,3,4,4
46,-5,-25,4,0,0
47,-5,-25,4,0,0
48,-80,-400,3,4,4
49,105,525,4,0,0
50,155,775,4,0,0
51,-80,-400,3,4,4
52,80,400,3,4,4
53,-105,-525,4,0,0
54,105,525,4,0,0
55,-80,-400,3,4,4
