id,det_A,det_Estd,rank_F2_A
0,0,0,1
1,0,0,2
2,0,0,2
3,0,0,2
4,0,0,1
5,-96,-576,3
6,96,576,3
7,192,1152,3
8,0,0,2
9,0,0,2
10,-192,-1152,3
11,-192,-1152,3
12,-576,-3456,2
13,-312,-1872,4
14,-96,-576,3
15,0,0,4
16,0,0,2
17,192,1152,3
18,0,0,2
19,192,1152,3
20,0,0,2
21,312,1872,4
22,-312,-1872,4
23,-192,-1152,3
24,0,0,2
25,192,1152,3
26,-192,-1152,3
27,0,0,2
28,576,3456,2
29,96,576,3
30,312,1872,4
31,0,0,4
32,0,0,4
33,0,0,3
34,0,0,3
35,0,0,3
36,0,0,3
37,0,0,3
38,72,432,3
39,72,432,3
40,0,0,3
41,0,0,3
42,0,0,3
43,0,0,3
44,-192,-1152,3
45,0,0,3
46,-24,-144,3
47,0,0,3
48,48,288,3
49,0,0,3
50,48,288,3
51,120,720,3
52,252,1512,4
53,0,0,3
54,0,0,3
55,0,0,4
56,-96,-576,3
57,0,0,3
58,48,288,3
59,0,0,3
60,48,288,3
61,96,576,3
62,0,0,4
63,-48,-288,3
64,-48,-288,3
65,0,0,3
66,72,432,3
67,156,936,4
68,96,576,3
69,-96,-576,3
70,144,864,4
71,48,288,3
72,-48,-288,3
73,144,864,3
74,48,288,3
75,384,2304,3
76,432,2592,3
77,432,2592,3
78,120,720,3
79,0,0,4
80,0,0,4
81,-168,-1008,3
82,0,0,4
83,0,0,3
84,0,0,3
85,0,0,3
86,0,0,3
87,0,0,3
88,0,0,2
89,0,0,3
90,0,0,3
91,-168,-1008,3
92,192,1152,3
93,-24,-144,3
94,-252,-1512,4
95,0,0,3
96,0,0,3
97,0,0,4
98,0,0,3
99,120,720,3
100,0,0,3
101,-48,-288,3
102,0,0,3
103,-48,-288,3
104,312,1872,4
105,-48,-288,3
106,-48,-288,3
107,-192,-1152,3
108,-168,-1008,3
109,-156,-936,4
110,0,0,3
111,-144,-864,3
112,0,0,2
113,-144,-864,3
114,-288,-1728,3
115,72,432,3
116,-312,-1872,4
117,-192,-1152,3
118,-336,-2016,3
119,-336,-2016,3
120,-24,-144,3
121,0,0,3
122,288,1728,3
123,-216,-1296,3
