id,det_A,rank_F2_A,v2_detA
0,61472,6,5
1,52480,6,8
2,-43600,6,4
3,2608,6,4
4,-8780,6,2
5,44388,6,2
6,200812,6,2
7,3556,6,2
8,-138936,5,3
9,-59264,4,7
10,-10504,6,3
11,93408,4,5
12,24672,5,5
13,15296,6,6
14,-9572,6,2
15,-15024,6,4
16,32096,5,5
17,-3200,5,7
18,-122112,5,8
19,65824,5,5
20,-32352,5,5
21,99552,4,5
22,-21536,6,5
23,61176,5,3
24,-64896,5,7
25,-165600,5,5
26,512,4,9
27,-288,5,5
28,66368,4,6
29,4656,5,4
30,-12168,6,3
31,-35440,4,4
32,-4380,6,2
33,149440,5,6
34,7840,5,5
35,-25680,5,4
36,6152,6,3
37,-15496,6,3
38,2280,6,3
39,-26280,5,3
40,40000,5,6
41,-65104,5,4
42,83264,5,6
43,-74048,5,6
44,-11092,6,2
45,-1200,5,4
46,-89488,6,4
47,19464,6,3
48,64288,4,5
49,-13680,5,4
50,-179244,6,2
51,-21952,5,6
52,41960,5,3
53,12288,5,12
54,-113552,5,4
55,28532,6,2
56,-36184,5,3
57,30784,4,6
58,-24168,6,3
59,39552,6,7
60,-28128,5,5
61,-1736,5,3
62,-17472,3,6
63,160120,6,3
64,15760,6,4
65,-165496,6,3
66,32384,6,7
67,-4896,5,5
68,78976,4,7
69,-35856,5,4
70,9752,6,3
71,29340,6,2
72,-5640,5,3
73,-33488,5,4
74,-27552,5,5
75,21504,4,10
76,-113140,6,2
77,22080,6,6
78,-56648,6,3
79,-7700,6,2
80,13200,6,4
81,-83656,6,3
82,25488,5,4
83,108192,5,5
84,148560,6,4
85,-7424,4,8
86,-89592,6,3
87,-61032,6,3
88,-27648,5,10
89,9688,6,3
90,42496,5,9
91,-28944,5,4
92,54104,6,3
93,107256,6,3
94,1488,5,4
95,-118720,5,6
96,24144,5,4
97,42104,6,3
98,241488,5,4
99,-1984,5,6
100,32424,6,3
101,-39280,5,4
102,-7832,5,3
103,33344,4,6
104,-4384,6,5
105,-39264,6,5
106,-15828,6,2
107,-55360,5,6
108,-86252,6,2
109,42752,5,8
110,-42192,6,4
111,-209952,4,5
112,12408,6,3
113,21216,4,5
114,40016,6,4
115,44928,6,7
116,320,6,6
117,69464,6,3
118,-6848,4,6
119,14512,5,4
120,-324024,6,3
121,56736,4,5
122,-34560,6,8
123,12800,5,9
124,78492,6,2
125,-65728,6,6
126,-19448,5,3
127,-143952,5,4
128,-16836,6,2
129,166688,4,5
130,-2188,6,2
131,22548,6,2
132,-43264,4,8
133,-15536,5,4
134,-45888,5,6
135,-117108,6,2
136,-25408,5,6
137,209196,6,2
138,-33200,5,4
139,10772,6,2
140,9120,5,5
141,-98080,6,5
142,20900,6,2
143,17904,5,4
144,-22976,5,6
145,-16624,5,4
146,-162812,6,2
147,-1712,6,4
148,-40848,6,4
149,26548,6,2
150,-62192,5,4
151,14664,6,3
152,19840,5,7
153,-26632,6,3
154,80672,5,5
155,6008,6,3
156,19464,6,3
157,-87744,5,6
158,38624,4,5
159,-17232,5,4
160,-26624,5,11
161,78160,5,4
162,4600,6,3
163,-48784,5,4
164,67072,5,9
165,2664,5,3
166,20672,4,6
167,-9600,6,7
168,-37696,6,6
169,-68264,6,3
170,26996,6,2
171,45440,5,7
172,117024,5,5
173,49856,4,6
174,-234112,5,7
175,-10496,5,8
176,-62640,5,4
177,-38512,5,4
178,-12984,5,3
179,-29568,5,7
180,-15840,6,5
181,-12048,5,4
182,13456,5,4
183,100704,5,5
184,-13872,4,4
185,181896,5,3
186,-5928,6,3
187,128816,6,4
188,-26472,5,3
189,55296,5,11
190,13632,4,6
191,-115616,6,5
192,19224,6,3
193,-16640,5,8
194,55440,6,4
195,5120,6,10
196,-38728,6,3
197,-85024,5,5
198,-23296,4,8
199,-137672,5,3
200,-8448,6,8
201,-7128,5,3
202,2100,6,2
203,-38304,5,5
204,1584,5,4
205,-11592,6,3
206,-108864,4,6
207,-79528,6,3
208,1504,5,5
209,4944,5,4
210,79128,5,3
211,31232,4,9
212,3968,5,7
213,28632,5,3
214,-161496,5,3
215,-10240,5,11
216,-27296,5,5
217,0,5,inf
218,-9360,5,4
219,-20584,5,3
220,-8304,5,4
221,85752,6,3
222,-81888,5,5
223,0,5,inf
224,25536,6,6
225,44616,6,3
226,-89588,6,2
227,-13344,5,5
228,-52296,6,3
229,-25376,5,5
230,-126848,4,7
231,1264,5,4
232,-17072,5,4
233,45856,6,5
234,6688,6,5
235,29544,6,3
236,-31824,6,4
237,0,5,inf
238,72816,6,4
239,32216,6,3
240,24808,6,3
241,41440,5,5
242,-29072,6,4
243,11984,6,4
244,-106800,5,4
245,-420176,6,4
246,-296,6,3
247,-9000,6,3
248,32564,6,2
249,-37540,6,2
250,9024,4,6
251,76928,6,7
252,-34272,6,5
253,-624,5,4
254,19080,6,3
255,75472,6,4
256,40752,5,4
257,26912,5,5
258,-7720,5,3
259,-512,5,9
260,51504,6,4
261,110360,6,3
262,6928,5,4
263,-8544,6,5
264,332640,5,5
