n,p,k_p,v_p_detA,bound,slack
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
