rank,min_ov,max_ov,n_ov1,n_ov2,n_ov3,n_ov4,var_ov,sigma_min,sigma_2nd,d_min,d_max,d_mean,gram_eig_min,fiedler,fiedler_bin,lap_eig3,null_dim,null_min_weight,group
10,1,4,6,25,12,2,0.528395,0.282349,0.522993,2,8,4.4444,0.079236,18.070000,10.000000,19.832579,0,None,FR
10,1,4,7,24,11,3,0.617284,0.250248,0.718675,2,6,4.1111,0.036173,17.371758,10.000000,18.999854,0,None,FR
10,1,4,9,19,15,2,0.661728,0.440675,0.547218,2,8,4.2222,0.095695,16.979885,10.000000,19.635903,0,None,FR
10,1,4,7,23,13,2,0.572840,0.237809,0.626139,2,6,4.3333,0.019527,18.095340,10.000000,18.876159,0,None,FR
10,1,4,9,20,13,3,0.706173,0.346384,0.559585,2,8,4.3333,0.059869,16.298570,10.000000,19.821964,0,None,FR
10,1,4,8,22,12,3,0.661728,0.264259,0.636794,2,8,4.4444,0.057154,16.629727,10.000000,19.767836,0,None,FR
10,1,4,6,25,12,2,0.528395,0.237789,0.563002,2,6,4.3333,0.025103,18.051109,10.000000,19.064789,0,None,FR
10,1,3,8,19,18,0,0.528395,0.265368,0.486738,2,8,4.6667,0.054081,18.567810,10.000000,19.353152,0,None,FR
10,1,4,7,24,11,3,0.617284,0.317777,0.460760,2,8,4.8889,0.031268,17.237341,10.000000,19.599147,0,None,FR
10,1,4,8,23,10,4,0.706173,0.403551,0.523742,2,8,4.8889,0.067637,16.660565,10.000000,19.308051,0,None,FR
10,1,4,7,24,11,3,0.617284,0.367071,0.528933,2,8,4.4444,0.064762,17.573529,10.000000,19.314780,0,None,FR
10,1,4,7,22,15,1,0.528395,0.324309,0.506928,2,6,4.6667,0.043624,17.936251,10.000000,20.050143,0,None,FR
10,1,4,8,22,12,3,0.661728,0.382942,0.526950,2,6,4.5556,0.037560,17.568869,10.000000,18.327216,0,None,FR
10,1,4,8,22,12,3,0.661728,0.342894,0.592181,2,8,4.2222,0.090139,17.443326,10.000000,18.761911,0,None,FR
10,1,4,6,24,14,1,0.483951,0.226701,0.503605,2,8,4.7778,0.026928,18.403327,10.000000,19.289431,0,None,FR
10,1,4,7,24,11,3,0.617284,0.338526,0.517942,2,8,4.4444,0.136719,17.957590,10.000000,18.787637,0,None,FR
10,1,4,8,20,16,1,0.572840,0.224934,0.672949,2,8,4.6667,0.038245,18.044795,10.000000,19.323765,0,None,FR
10,1,4,4,28,12,1,0.395062,0.150236,0.673747,2,8,4.5556,0.020463,19.068178,10.000000,20.068062,0,None,FR
10,1,4,7,25,9,4,0.661728,0.286609,0.675772,2,8,4.2222,0.028737,16.962802,10.000000,19.113245,0,None,FR
10,1,4,9,20,13,3,0.706173,0.339383,0.629923,2,8,4.6667,0.062837,16.326527,10.000000,20.058614,0,None,FR
10,1,4,10,17,16,2,0.706173,0.271333,0.692622,2,8,4.5556,0.016794,16.284043,10.000000,20.033620,0,None,FR
10,1,4,8,22,12,3,0.661728,0.332094,0.433623,2,6,4.0000,0.070512,17.114312,10.000000,18.489062,0,None,FR
10,1,4,6,25,12,2,0.528395,0.275150,0.456161,2,8,4.5556,0.023291,17.738094,10.000000,19.496772,0,None,FR
10,1,4,9,18,17,1,0.617284,0.246538,0.661199,2,8,4.7778,0.039036,17.179048,10.000000,19.484721,0,None,FR
10,1,4,6,26,10,3,0.572840,0.271550,0.569892,2,6,4.3333,0.055479,18.163205,10.000000,18.429566,0,None,FR
10,1,4,9,20,13,3,0.706173,0.279874,0.698941,2,8,4.2222,0.038682,17.082075,10.000000,18.186034,0,None,FR
10,1,4,6,24,14,1,0.483951,0.264235,0.425645,2,8,4.6667,0.016996,18.607465,10.000000,19.216521,0,None,FR
10,1,4,6,24,14,1,0.483951,0.190750,0.681725,2,8,4.4444,0.023576,18.534697,10.000000,19.560820,0,None,FR
10,1,4,9,19,15,2,0.661728,0.298854,0.636186,2,8,4.5556,0.019195,17.221903,10.000000,19.111980,0,None,FR
10,1,4,7,24,11,3,0.617284,0.232674,0.595452,2,8,4.5556,0.047449,17.166386,10.000000,19.024679,0,None,FR
10,1,4,6,24,14,1,0.483951,0.186824,0.740123,2,8,4.6667,0.017301,18.023959,10.000000,20.045405,0,None,FR
10,1,4,9,18,17,1,0.617284,0.327225,0.518960,2,8,4.4444,0.069233,17.200376,10.000000,19.396503,0,None,FR
10,1,4,6,25,12,2,0.528395,0.216503,0.633047,2,8,4.6667,0.013630,17.591131,10.000000,20.096041,0,None,FR
10,1,3,5,25,15,0,0.395062,0.368011,0.883660,2,8,4.3333,0.039735,18.617058,10.000000,19.670378,0,None,FR
10,1,4,9,19,15,2,0.661728,0.351915,0.531689,2,8,4.5556,0.023903,17.163550,10.000000,18.794021,0,None,FR
10,1,4,7,25,9,4,0.661728,0.302770,0.647456,2,8,4.6667,0.039989,16.923812,10.000000,19.517479,0,None,FR
10,1,4,10,17,16,2,0.706173,0.319272,0.609635,2,8,4.6667,0.043223,17.333200,10.000000,18.398239,0,None,FR
10,1,4,11,15,17,2,0.750617,0.427066,0.525628,2,8,4.5556,0.067558,16.187494,10.000000,19.620991,0,None,FR
10,1,4,8,20,16,1,0.572840,0.220343,0.639747,2,8,4.6667,0.012360,17.368204,10.000000,19.217171,0,None,FR
10,1,3,7,21,17,0,0.483951,0.186684,0.668045,2,8,4.7778,0.029623,18.400817,10.000000,19.451073,0,None,FR
10,1,4,7,22,15,1,0.528395,0.311054,0.454336,2,8,4.4444,0.099995,17.982999,10.000000,19.744499,0,None,FR
10,1,3,5,25,15,0,0.395062,0.153788,0.605980,2,8,4.5556,0.023919,18.808900,10.000000,20.115535,0,None,FR
10,1,4,7,24,11,3,0.617284,0.226129,0.640226,2,8,4.5556,0.050122,17.095050,10.000000,19.206601,0,None,FR
10,1,4,7,23,13,2,0.572840,0.252257,0.606157,2,8,4.6667,0.021214,17.612295,10.000000,19.451312,0,None,FR
10,1,4,7,23,13,2,0.572840,0.307566,0.533669,2,8,4.5556,0.024813,18.298628,10.000000,18.961030,0,None,FR
10,1,4,8,20,16,1,0.572840,0.265829,0.628477,2,8,4.3333,0.042163,17.995174,10.000000,19.404300,0,None,FR
10,1,4,9,21,11,4,0.750617,0.406573,0.644002,2,8,4.3333,0.102129,17.119002,10.000000,18.649602,0,None,FR
10,1,4,6,24,14,1,0.483951,0.281576,0.449108,2,8,4.3333,0.067043,18.741270,10.000000,19.661699,0,None,FR
10,1,4,7,23,13,2,0.572840,0.279431,0.627947,2,6,4.0000,0.108782,17.472548,10.000000,20.040986,0,None,FR
10,1,4,7,23,13,2,0.572840,0.311501,0.446090,2,8,4.4444,0.089859,18.360135,10.000000,18.711851,0,None,FR
10,1,4,6,25,12,2,0.528395,0.323286,0.427918,2,8,4.5556,0.062253,17.607012,10.000000,20.174989,0,None,FR
10,1,4,9,19,15,2,0.661728,0.304521,0.607368,2,6,4.2222,0.044477,17.570944,10.000000,18.441673,0,None,FR
10,1,4,7,22,15,1,0.528395,0.202230,0.644211,2,6,4.5556,0.009477,17.913954,10.000000,19.262975,0,None,FR
10,1,4,7,23,13,2,0.572840,0.351596,0.552436,2,8,4.3333,0.097396,18.294447,10.000000,19.363556,0,None,FR
